"product_name","product_unit_price"
Aniseed Syrup,10.00
Boston Crab Meat,18.40
Camembert Pierrot,34.00
Chartreuse verte,18.00
Chef Anton's Cajun Seasoning,22.00
Chocolade,12.75
Escargots de Bourgogne,13.25
Flotemysost,21.50
Genen Shouyu,13.00
Gnocchi di nonna Alice,38.00
Gorgonzola Telino,12.50
Grandma's Boysenberry Spread,25.00
Gravad lax,26.00
Gudbrandsdalsost,36.00
Gula Malacca,19.45
Gumbär Gummibärchen,31.23
Gustaf's Knäckebröd,21.00
Ikura,31.00
Inlagd Sill,19.00
Ipoh Coffee,46.00
Lakkalikööri,18.00
Laughing Lumberjack Lager,14.00
Longlife Tofu,10.00
Louisiana Fiery Hot Pepper Sauce,21.05
Louisiana Hot Spiced Okra,17.00
Mascarpone Fabioli,32.00
Maxilaku,20.00
Mozzarella di Giovanni,34.80
Nord-Ost Matjeshering,25.89
Northwoods Cranberry Sauce,40.00
NuNuCa Nuß-Nougat-Creme,14.00
Original Frankfurter grüne Soße,13.00
Outback Lager,15.00
Pavlova,17.45
Pâté chinois,24.00
Queso Cabrales,21.00
Queso Manchego La Pastora,38.00
Ravioli Angelo,19.50
Röd Kaviar,15.00
Sasquatch Ale,14.00
Schoggi Schokolade,43.90
Scottish Longbreads,12.50
Sir Rodney's Scones,10.00
Sirop d'érable,28.50
Spegesild,12.00
Steeleye Stout,18.00
Tarte au sucre,49.30
Tofu,23.25
Uncle Bob's Organic Dried Pears,30.00
Valkoinen suklaa,16.25
Vegie-spread,43.90
Wimmers gute Semmelknödel,33.25
