"category_name","supplier_region","units_in_stock","units_on_order","reorder_level"
Beverages,America,203,0,40
Condiments,America,372,100,70
Confections,America,17,0,0
Meat/Poultry,America,136,0,30
Produce,America,15,0,10
Seafood,America,208,0,40
Beverages,Asia,17,10,25
Condiments,Asia,66,0,20
Grains/Cereals,Asia,26,0,0
Meat/Poultry,Asia,29,0,0
Produce,Asia,39,20,5
Seafood,Asia,55,0,5
Beverages,Europe,324,40,100
Condiments,Europe,45,70,40
Confections,Europe,340,180,155
Dairy Products,Europe,393,140,110
Grains/Cereals,Europe,244,90,130
Meat/Poultry,Europe,0,0,0
Produce,Europe,26,0,0
Seafood,Europe,396,120,100
Beverages,Oceania,15,10,30
Condiments,Oceania,24,0,5
Confections,Oceania,29,0,10
Grains/Cereals,Oceania,38,0,25
Meat/Poultry,Oceania,0,0,0
Produce,Oceania,20,0,10
Seafood,Oceania,42,0,0
